"feedback_text","sentiment_label"
"Dạo này em tâm lý thoải mái hơn nên khi học yêu cầu môn học em cảm thấy mất động lực và rất khó tập trung.","NEGATIVE"
"Tình trạng áp lực từ việc làm thêm làm em học cách dạy trong trạng thái không thở được nhiều ngày nay.","NEGATIVE"
"Mặc dù quá tải thật sự nhưng em vẫn nắm được ý chính.","NEUTRAL"
"Em đang bị chuyện gia đình làm em phân tâm nên việc theo kịp cách chấm điểm khiến em mất động lực thật sự.","NEGATIVE"
"Dạo này em khá mệt mỏi nên khi học tiến độ học kỳ em cảm thấy rất áp lực và rất khó tập trung.","NEGATIVE"
"Dạo này tinh thần em khá ổn nên khi học tốc độ giảng bài em cảm thấy chill hơn hẳn hơn rất nhiều so với trước đây.","POSITIVE"
"Tâm trạng em tốt hơn trước nên khi học yêu cầu môn học em thấy hứng thú hẳn lên và dễ tập trung hơn.","POSITIVE"
"Tình trạng khá mệt mỏi làm em học kỳ thi cuối kỳ trong trạng thái dễ nản nhiều ngày nay.","NEGATIVE"
"Tưởng sẽ học tốt nhưng cuối cùng lại không theo kịp.","NEGATIVE"
"Tình trạng khá bận rộn làm em học bài kiểm tra giữa kỳ trong trạng thái hoang mang thật sự nhiều ngày nay.","NEGATIVE"
"Dạo này sinh hoạt của em khá bận rộn nên việc học nội dung tuần này chỉ ở mức không quá khó, chưa có gì nổi bật.","NEUTRAL"
"deadline nhiều nhưng em vẫn theo kịp bài tốt.","POSITIVE"
"Em đang bị áp lực từ việc làm thêm nên việc theo kịp tốc độ giảng bài khiến em rất áp lực thật sự.","NEGATIVE"
"Em chưa thật sự ổn định về chuyện gia đình làm em phân tâm nên học bài kiểm tra giữa kỳ vẫn khá áp lực.","NEUTRAL"
"Nhờ tâm trạng không ổn định nên em có năng lượng học yêu cầu môn học và thấy yên tâm hơn nhiều rõ rệt.","POSITIVE"
"Dạo này tinh thần em khá ổn nên khi học việc học nhóm em cảm thấy rất thoải mái hơn rất nhiều so với trước đây.","POSITIVE"
"Nhờ tâm trạng không ổn định nên em có năng lượng học tài liệu học tập và thấy tự tin hơn trước nhiều rõ rệt.","POSITIVE"
"Nhờ stress kéo dài nhiều ngày nên em có năng lượng học feedback từ giảng viên và thấy khá tự tin rõ rệt.","POSITIVE"
"Nhờ chuyện gia đình làm em phân tâm nên em có năng lượng học tài liệu học tập và thấy khá tự tin rõ rệt.","POSITIVE"
"Tâm trạng em tốt hơn trước nên khi học lịch học em thấy vui vì hiểu ra rồi và dễ tập trung hơn.","POSITIVE"
"Dạo này em mất động lực học tập nên khi học yêu cầu môn học em cảm thấy bị quá tải và rất khó tập trung.","NEGATIVE"
"Hơi stress nặng nhưng em vẫn nắm được ý chính.","NEUTRAL"
"Tâm trạng em tốt hơn trước nên khi học yêu cầu môn học em thấy rất thoải mái và dễ tập trung hơn.","POSITIVE"
"Em bị quá tải thật sự, không biết ưu tiên cái gì nữa.","NEGATIVE"
"Em chưa thật sự ổn định về khá mệt mỏi nên học việc học nhóm vẫn ở mức trung bình.","NEUTRAL"
"Dạo này sinh hoạt của em thiếu ngủ thường xuyên nên việc học bài kiểm tra giữa kỳ chỉ ở mức hơi rối, chưa có gì nổi bật.","NEUTRAL"
"Em vẫn đang cố cân bằng giữa tâm trạng không ổn định và học tài liệu nên cảm thấy khá áp lực.","NEUTRAL"
"Tốc độ học vừa phải, em không bị quá tải.","NEUTRAL"
"Em chưa thật sự ổn định về hơi rối một chút nên học tài liệu vẫn ở mức trung bình.","NEUTRAL"
"Nhờ khá bận rộn nên em có năng lượng học cách chấm điểm và thấy hứng thú hẳn lên rõ rệt.","POSITIVE"
"Tâm trạng em tốt hơn trước nên khi học tốc độ giảng bài em thấy ổn áp và dễ tập trung hơn.","POSITIVE"
"Em đang bị mất động lực học tập nên việc theo kịp bài kiểm tra giữa kỳ khiến em khó theo kịp thật sự.","NEGATIVE"
