"feedback_text","sentiment_label"
"Em thấy mất động lực – tài liệu thiếu và không hiểu bài mà ngại hỏi cộng lại quá sức.","NEGATIVE"
"Nhờ tài liệu rõ ràng hơn, em thấy dễ tiếp thu hơn với sự tương tác trong lớp hơn rồi.","POSITIVE"
"không hiểu bài mà ngại hỏi nên deadline bài tập làm em đầu óc quay tít liên tục.","NEGATIVE"
"em đang thiếu ngủ ghê nên deadline bài tập làm em khó theo kịp liên tục.","NEGATIVE"
"Em không thở được khi học tài liệu thiếu – áp lực từ nhiều môn cùng lúc.","NEGATIVE"
"Tuy không theo kịp nhưng em vẫn vẫn học ổn.","NEUTRAL"
"Nhờ em chủ động hỏi thêm, em thấy yên tâm hơn nhiều với bài thực hành hơn rồi.","POSITIVE"
"Em thấy mất động lực – cách dạy và không hiểu bài mà ngại hỏi cộng lại quá sức.","NEGATIVE"
"Em hoang mang thật sự khi học deadline bài tập – không có tài liệu rõ ràng.","NEGATIVE"
"Mặc dù kiệt sức nhưng em vẫn làm được bài tập.","NEUTRAL"
"bạn nhóm hợp tác tốt nên em thấy tự tin hơn trước nhiều khi học bài thực hành.","POSITIVE"
"Dù lịch học dày nhưng em vẫn nắm được ý chính được.","POSITIVE"
"cách tổ chức môn hợp lý nên em thấy tự tin hơn trước nhiều khi học lịch học.","POSITIVE"
"Em thấy hơi mệt – không có gì đáng lo nhưng cũng chưa thích lắm.","NEUTRAL"
"Em thấy hài lòng ghê khi học bài thực hành, thầy/cô giải thích dễ hiểu lắm.","POSITIVE"
"Em mất động lực khi học cách chấm điểm – không hiểu bài mà ngại hỏi.","NEGATIVE"
"bài tập không quá khó nhưng cũng chưa gây hứng thú cho em.","NEUTRAL"
"Dạo này em học vào hơn, có lẽ do bài hay hơn.","POSITIVE"
"cách dạy hơi khó theo nên cách dạy làm em kiệt sức liên tục.","NEGATIVE"
"Em hài lòng ghê lắm – bài giảng được cải thiện nhiều giúp em nhiều.","POSITIVE"
"lịch học dày nhưng em vẫn theo kịp bài tốt.","POSITIVE"
"cách dạy hơi khó theo nên kỳ thi cuối kỳ làm em muốn bỏ cuộc liên tục.","NEGATIVE"
"tiến độ học quá nhanh khiến em nản lắm rồi với bài kiểm tra giữa kỳ.","NEGATIVE"
"Em vẫn theo kịp cách dạy, nhưng cần đọc thêm ngoài giờ.","NEUTRAL"
"Em thấy hoang mang thật sự – kỳ thi cuối kỳ và áp lực từ nhiều môn cùng lúc cộng lại quá sức.","NEGATIVE"
"Tình trạng hiện tại của em là không thoải mái lắm thôi, chưa có chuyện gì.","NEUTRAL"
"Thầy dạy dễ hiểu lắm, em theo kịp hết.","POSITIVE"
"Mặc dù mất động lực nhưng em vẫn theo kịp bài.","NEUTRAL"
"khối lượng kiến thức bình thường, em học được nhưng cần thêm thời gian.","NEUTRAL"
"Dạo này cách chấm điểm khiến em hài lòng ghê, có lẽ nhờ cách tổ chức môn hợp lý.","POSITIVE"
"Em thấy không thích không ghét với deadline bài tập, không hơn không kém.","NEUTRAL"
"cách dạy hơi khó theo nên cách dạy làm em rất áp lực liên tục.","NEGATIVE"
"Em dễ nản khi học bài thực hành – không hiểu bài mà ngại hỏi.","NEGATIVE"
"Em hơi mệt với deadline bài tập, vẫn đang cố làm quen.","NEUTRAL"
"em đang thiếu ngủ ghê nên khối lượng kiến thức làm em khó theo kịp liên tục.","NEGATIVE"
"Em thấy chán, học mãi mà không thấy hiểu thêm được gì.","NEGATIVE"
"Tuy stress nặng nhưng em vẫn theo kịp bài.","NEUTRAL"
"Em khá tự tin lắm – được hướng dẫn chi tiết hơn giúp em nhiều.","POSITIVE"
"Dạo này bài kiểm tra giữa kỳ khiến em hoang mang thật sự, tiến độ học quá nhanh.","NEGATIVE"
"bài kiểm tra giữa kỳ không quá khó nhưng cũng chưa gây hứng thú cho em.","NEUTRAL"
"Dạo này lịch học dày khiến em kiệt sức, áp lực từ nhiều môn cùng lúc.","NEGATIVE"
"Dạo này deadline bài tập khiến em rất thoải mái, có lẽ nhờ bạn nhóm hợp tác tốt.","POSITIVE"
"bài nhiều mà thời gian không đủ khiến em đầu óc quay tít với cách dạy.","NEGATIVE"
"Dạo này sự tương tác trong lớp khiến em tự tin hơn trước nhiều, có lẽ nhờ môi trường lớp tích cực.","POSITIVE"
"các yêu cầu môn học theo kịp được, không phải vấn đề lớn.","NEUTRAL"
"Dạo này bài giảng khiến em nhẹ đầu hơn nhiều, có lẽ nhờ môi trường lớp tích cực.","POSITIVE"
"Tuy quá tải thật sự nhưng em vẫn làm được bài tập.","NEUTRAL"
"Học tốc độ giảng bài ổn, nhưng em chưa có cảm hứng gì đặc biệt.","NEUTRAL"
"Em đang ở mức trung bình với tốc độ giảng bài, không thích không ghét.","NEUTRAL"
"Dạo này yêu cầu môn học khiến em vui vì hiểu ra rồi, có lẽ nhờ môi trường lớp tích cực.","POSITIVE"
"Em tự tin hơn trước nhiều khi tiếp cận cách chấm điểm, cảm giác rất khác so với trước.","POSITIVE"
"Em hoang mang thật sự khi học tài liệu thiếu – áp lực từ nhiều môn cùng lúc.","NEGATIVE"
"Dạo này cách chấm điểm khiến em yên tâm hơn nhiều, có lẽ nhờ tài liệu rõ ràng hơn.","POSITIVE"
"cách tổ chức môn hợp lý nên em thấy có động lực hơn hẳn khi học sự tương tác trong lớp.","POSITIVE"
"Em thấy đuối sức – lịch học dày và nhóm không làm việc được với nhau cộng lại quá sức.","NEGATIVE"
"Dạo này cách chấm điểm khiến em đuối sức, em đang thiếu ngủ ghê.","NEGATIVE"
"Em mệt mỏi ghê thật sự – nội dung khó khó quá mà không có đủ tài liệu.","NEGATIVE"
"Thật ra feedback từ giảng viên cũng thú vị, em thấy ổn áp khi làm quen rồi.","POSITIVE"
"Hơi kiệt sức nhưng em vẫn vẫn học ổn.","NEUTRAL"
"Em thấy stress liên tục – tốc độ giảng bài và áp lực từ nhiều môn cùng lúc cộng lại quá sức.","NEGATIVE"
"Dạo này deadline bài tập khiến em hoang mang thật sự, áp lực từ nhiều môn cùng lúc.","NEGATIVE"
"Em có động lực hơn hẳn lắm – em chủ động hỏi thêm giúp em nhiều.","POSITIVE"
"Dạo này lịch học dày khiến em không thở được, deadline dồn vào một tuần.","NEGATIVE"
"Em vừa phải với bài giảng, vẫn đang cố làm quen.","NEUTRAL"
"hiểu bài nhưng thực tế em lại mất động lực.","NEGATIVE"
"Tuy đuối sức nhưng em vẫn theo kịp bài.","NEUTRAL"
"Em ổn áp lắm – tài liệu rõ ràng hơn giúp em nhiều.","POSITIVE"
"được hướng dẫn chi tiết hơn nên em thấy rất thoải mái khi học việc học nhóm.","POSITIVE"
"Em không quá dễ với lịch học, vẫn đang cố làm quen.","NEUTRAL"
"Em ổn áp lắm – em chủ động hỏi thêm giúp em nhiều.","POSITIVE"
"môi trường lớp tích cực nên em thấy khá tự tin khi học khối lượng kiến thức.","POSITIVE"
"Cũng ổn thôi, nội dung tuần này vừa sức với em.","NEUTRAL"
"Nhờ bạn nhóm hợp tác tốt, em thấy hài lòng ghê với sự tương tác trong lớp hơn rồi.","POSITIVE"
"Nhờ môi trường lớp tích cực, em thấy thấy tiến bộ rõ với khối lượng kiến thức hơn rồi.","POSITIVE"
"bài tập quá nhiều so với thời gian khiến em dễ nản với yêu cầu môn học.","NEGATIVE"
